region,lat,lon,soil_attribute,unit,upper_depth_cm,lower_depth_cm,value,lower_uncertainty,upper_uncertainty
Queensland,-27.5,151.5,ECEC,meq/100g,15.0,30.0,29.299224853515625,5.106324672698975,176.4714813232422
Queensland,-27.5,151.5,ECEC,meq/100g,30.0,60.0,31.26836395263672,5.312836647033691,194.87144470214844
Queensland,-27.5,151.5,ECEC,meq/100g,60.0,100.0,33.34288787841797,5.552177906036377,209.44268798828125
Queensland,-27.5,151.5,ECEC,meq/100g,100.0,200.0,36.094486236572266,5.457081317901611,253.03958129882812
Queensland,-27.5,151.5,AWC,%,0.0,5.0,17.797161102294922,10.105844497680664,25.488475799560547
Queensland,-27.5,151.5,AWC,%,5.0,15.0,17.712507247924805,10.503177642822266,24.921836853027344
Queensland,-27.5,151.5,AWC,%,15.0,30.0,17.572513580322266,10.858041763305664,24.286985397338867
Queensland,-27.5,151.5,AWC,%,30.0,60.0,16.705869674682617,9.822073936462402,23.589664459228516
Queensland,-27.5,151.5,AWC,%,60.0,100.0,15.79477596282959,8.59787368774414,22.99167823791504
Queensland,-27.5,151.5,AWC,%,100.0,200.0,13.861857414245605,4.911714553833008,22.812000274658203
Queensland,-27.5,151.5,PHC,None,0.0,5.0,6.345658779144287,5.634406566619873,7.236237049102783
Queensland,-27.5,151.5,PHC,None,5.0,15.0,6.4303107261657715,5.6816487312316895,7.249661922454834
Queensland,-27.5,151.5,PHC,None,15.0,30.0,6.6189446449279785,5.711841106414795,7.661397933959961
Queensland,-27.5,151.5,PHC,None,30.0,60.0,7.035665035247803,6.068202495574951,8.146183967590332
Queensland,-27.5,151.5,PHC,None,60.0,100.0,7.286263942718506,6.269394874572754,8.487573623657227
Queensland,-27.5,151.5,PHC,None,100.0,200.0,7.363544940948486,6.277507781982422,8.522743225097656
Queensland,-27.5,151.5,SOC,%,0.0,5.0,1.9288896322250366,0.46207964420318604,6.8135085105896
Queensland,-27.5,151.5,SOC,%,5.0,15.0,1.5533100366592407,0.4530054032802582,5.663198471069336
Queensland,-27.5,151.5,SOC,%,15.0,30.0,1.141030192375183,0.3400576710700989,4.714086532592773
Queensland,-27.5,151.5,SOC,%,30.0,60.0,0.8555322885513306,0.21623608469963074,4.256663799285889
Queensland,-27.5,151.5,SOC,%,60.0,100.0,0.5894707441329956,0.13146357238292694,3.3578011989593506
Queensland,-27.5,151.5,SOC,%,100.0,200.0,0.4601592421531677,0.0941559448838234,2.8416225910186768
Queensland,-27.5,151.5,DEPTH_OF_REGOLITH,,-9999.0,-9999.0,26.42037010192871,-9999.0,-9999.0
Queensland,-27.5,151.5,DEPTH_OF_SOIL,,-9999.0,-9999.0,1.2467529773712158,-9999.0,-9999.0
South Australia,-34.5,138.5,BULK-DENSITY,g/cm3,0.0,5.0,1.3222436904907227,1.2484956979751587,1.3979679346084595
South Australia,-34.5,138.5,BULK-DENSITY,g/cm3,5.0,15.0,1.3544062376022339,1.2495007514953613,1.4497580528259277
South Australia,-34.5,138.5,BULK-DENSITY,g/cm3,15.0,30.0,1.3852282762527466,1.3095252513885498,1.4845494031906128
South Australia,-34.5,138.5,BULK-DENSITY,g/cm3,30.0,60.0,1.3991128206253052,1.3260529041290283,1.488377571105957
South Australia,-34.5,138.5,BULK-DENSITY,g/cm3,60.0,100.0,1.453574299812317,1.3238143920898438,1.5925750732421875
South Australia,-34.5,138.5,BULK-DENSITY,g/cm3,100.0,200.0,1.5212863683700562,1.3574154376983643,1.670265793800354
South Australia,-34.5,138.5,CLAY,%,0.0,5.0,23.882413864135742,14.27645206451416,42.52190017700195
South Australia,-34.5,138.5,CLAY,%,5.0,15.0,27.10944938659668,14.982468605041504,45.74139404296875
South Australia,-34.5,138.5,CLAY,%,15.0,30.0,33.174129486083984,19.151954650878906,52.59950637817383
South Australia,-34.5,138.5,CLAY,%,30.0,60.0,35.714664459228516,20.748123168945312,53.73199462890625
